"","Text","Score","Positive","Negative"
"167","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"168","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"169","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"170","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"171","PresidentTrumpForeignPolicy
China Unexpectedly Returns US Citizen Just Days After Conviction
WjzLpdECRZ
tcot PJNET",-1,0,1
"172","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"173","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"174","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"175","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"176","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"177","PresidentTrumpForeignPolicy
CTH Russia BlinksLavrov Says Ready To Cooperate w US on Syria
ydynJQUv
tcot PJNET",1,1,0
"178","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them with the",-1,0,1
"179","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"180","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"181","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"182","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"183","PresidentTrump
CTH President Trumps Rally Brilliantly Triggers the Medias Borderline Personality Psychosis
gzPojQvtb
tcot",1,1,0
"184","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"185","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"186","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"187","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"188","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"189","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"190","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them with the",-1,0,1
"191","PresidentTrumpTrumpRally
Mocks WHCD Hollywood ActorsWashington Media Are Consoling Each Other",0,0,0
"192","PresidentTrumpTrumpRally
CTH Harrisburg RallyPlaybackThread
eWDGYVepyMAGA tcot PJNET",0,0,0
"193","Heres why I voted TrumpVOTING PresidentTrump inJoin TrumpsArmy America is worth fighting for MAGA",0,1,1
"194","I SINCERELY hope Hahn is representative of DemLeftist thinking PresidentTrump will win reelection in a LANDSLIDE JudgeJeanine MAGA",2,2,0
"195","PresidentTrumpTrumpRallyDonald Trump ChuckSchumer Leading Democrats to Doom
NHDgwqhRcsMAGA",2,2,0
"196","PresidentTrumpPennsylvania MAGAPOTUSVP MikePenceHarrisburg PA Rally pm EST
BUANzzJgN",0,0,0
"197","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them w myREPmzU",-1,0,1
"198","Just amazing but completely expected They American people the patriots of our nation LOVE OUR PresidentTrump Gods ble",2,2,0
"199","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"200","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"201","PresidentTrump YOU ARE AWES",0,0,0
"202","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"203","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"204","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"205","PresidentTrump PennsylvaniaVP MikePence Under President Donald Trump the War on Coal Is Over
ecMfWDCC
tcot PJNET",1,1,0
"206","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"207","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"208","We dont need to hear our PresidentTrump lambasted and not be able to do anything about it Looking forward to a great Ra",0,1,1
"209","Sorry not interested in FakeNews HollywoodBtw most were watching PresidentTrumps FirstDays a",-2,0,2
"210","PresidentTrumpTrumpRally
Mocks WHCD Hollywood ActorsWashington Media Are Consoling Each Other
meXNQSVgr
tcot",0,0,0
"211","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"212","I was crying watching him walk out I couldnt be prouder of PresidentTrump Thank you Harrisburg Pen",1,1,0
"213","Thats right President Trump The MSM is not going to control us They cant brainwash usPresidentTrump uMreJznt",0,2,2
"214","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"215","PresidentTrumpNationalSecurity
Why Trump is right ISIS forging Iraqi passports
xCuhMGtcot P",2,2,0
"216","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"217","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"218","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"219","How about Traitorto AmericaWeThePeoplePresidentTrumpDamn GOPe RINO",0,0,0
"220","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
